"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2022","3,440.71","3,679.45","3,687.15","3,440.71","3.02B","-6.19%"
"09/16/2022","3,667.90","3,643.15","3,711.13","3,601.29","4.32B","0.43%"
"09/15/2022","3,652.35","3,779.30","3,815.55","3,648.20","3.58B","-3.05%"
"09/14/2022","3,767.06","3,739.11","3,767.06","3,570.75","3.26B","0.51%"
"09/13/2022","3,748.02","4,070.56","4,115.58","3,748.02","6.59B","-6.88%"
"09/12/2022","4,025.14","3,907.52","4,028.47","3,891.56","5.64B","4.11%"
"09/09/2022","3,866.13","3,796.49","3,903.73","3,778.99","5.28B","2.66%"
"09/08/2022","3,766.07","3,758.91","3,849.42","3,742.12","5.89B","1.01%"
"09/07/2022","3,728.29","3,714.07","3,745.32","3,641.73","5.41B","0.68%"
"09/06/2022","3,703.02","3,698.15","3,787.41","3,609.07","7.26B","0.92%"
"09/05/2022","3,669.21","3,524.60","3,682.54","3,524.60","5.63B","5.01%"
"09/02/2022","3,494.19","3,425.61","3,504.95","3,412.61","4.53B","2.75%"
"09/01/2022","3,400.55","3,445.74","3,455.79","3,382.76","4.56B","-1.56%"
"08/31/2022","3,454.42","3,474.23","3,493.08","3,447.02","3.94B","-0.18%"
"08/30/2022","3,454.42","3,474.23","3,493.08","3,447.02","3.94B","-0.18%"
"08/29/2022","3,460.79","3,428.55","3,471.03","3,387.94","3.51B","0.92%"
"08/26/2022","3,429.22","3,433.50","3,485.26","3,382.73","5.89B","0.28%"
"08/25/2022","3,419.52","3,341.75","3,431.68","3,340.27","4.57B","2.84%"
"08/24/2022","3,325.16","3,413.66","3,435.86","3,321.11","3.64B","-2.20%"
"08/23/2022","3,399.82","3,328.16","3,410.13","3,328.16","4.03B","2.40%"
"08/22/2022","3,320.23","3,274.83","3,347.21","3,256.98","3.66B","1.26%"
"08/19/2022","3,279.07","3,293.51","3,324.01","3,254.89","3.15B","-0.31%"
"08/18/2022","3,289.24","3,228.85","3,307.14","3,178.86","4.70B","1.85%"
"08/17/2022","3,229.41","3,166.07","3,233.44","3,150.66","3.86B","2.68%"
"08/16/2022","3,145.08","3,073.41","3,145.08","2,977.00","2.93B","2.55%"
"08/15/2022","3,066.79","3,099.62","3,108.72","3,053.81","1.76B","-0.66%"
"08/12/2022","3,087.02","3,107.19","3,136.09","3,062.03","2.42B","-0.48%"
"08/11/2022","3,101.90","3,069.41","3,115.66","3,061.81","2.77B","1.66%"
"08/10/2022","3,051.15","2,988.19","3,051.34","2,974.05","2.43B","1.82%"
"08/09/2022","2,996.47","3,009.86","3,023.02","2,971.58","2.24B","-0.50%"
"08/08/2022","3,011.58","2,964.35","3,022.13","2,964.35","2.32B","1.87%"
"08/05/2022","2,956.24","2,927.05","2,973.14","2,904.61","2.64B","1.19%"
"08/04/2022","2,921.48","2,895.73","2,935.66","2,895.73","1.76B","1.53%"
"08/03/2022","2,877.40","2,853.96","2,877.40","2,848.46","1.53B","1.58%"
"08/02/2022","2,832.55","2,839.39","2,868.14","2,820.42","1.72B","-0.05%"
"08/01/2022","2,834.09","2,760.45","2,836.06","2,760.45","1.71B","2.67%"
